Local Authority Code,Local Authority Name,NGA Availability (% premises) by Local Authority,SFBB Availability (% premises) by Local Authority,UFBB Availability (% premises) by Local Authority,Take-up of lines < 2 Mbit/s (number of lines) by Local Authority,Take-up of Lines 2-5 Mbit/s (number of lines) by Local Authority,Take-up of Lines 5-10 Mbit/s (number of lines) by Local Authority,Take-up of Lines 10-30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 30 Mbit/s (number of lines) by Local Authority,Take-up of lines > 300 Mbit/s (number of lines) by Local Authority,Average data downloaded by Local Authority (GB),Average data uploaded by Local Authority (GB),Average download speed (Mbit/s) by Local Authority,Median download speed (Mbit/s) by Local Authority,Minimum download speed (Mbit/s) by Local Authority,Maximum download speed (Mbit/s) by Local Authority,Average download speed (Mbit/s) for NGA lines by Local Authority,Average download speed (Mbit/s) for non-NGA lines by Local Authority,Average download speed (Mbit/s) for Superfast BB lines by Local Authority,Average download speed (Mbit/s) for Ultrafast BB lines by Local Authority,Average download speed (Mbit/s) for basic BB (non-SF) lines by Local Authority,Average upload speed (Mbit/s) by Local Authority,Median upload speed (Mbit/s) by Local Authority,Minimum upload speed (Mbit/s) by Local Authority ,Maximum upload speed (Mbit/s) by Local Authority ,Average upload speed (Mbit/s) for NGA lines by Local Authority ,Average upload speed (Mbit/s) for non-NGA lines by Local Authority ,Average upload speed (Mbit/s) for Superfast BB lines by Local Authority ,Average upload speed (Mbit/s) for Ultrafast BB lines by Local Authority ,Average upload speed (Mbit/s) for basic BB (non-SF) lines by Local Authority ,% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s
00-BL,Bolton District ,97,95,0,2905,10278,17690,24598,39446,,76.7,10.2,35.1,19.7,0.1,152,64.8,9.9,69.6,,10.5,3.3,1.3,0,20,6.2,1,6.5,,1.1,0,1,1
00-BM,Bury District ,98,93,0,2064,6700,15697,18442,22084,,77.3,10.8,27.2,15.2,0.1,152,55,9.8,60,,10.4,3.8,1.2,0,20,8.4,1,9,,1.1,0,0,1
00-BN,Manchester District ,89,87,1,5196,16945,40486,49457,56821,,93.2,14,28.6,14.8,0.1,152,60.8,10,64.6,,10.3,3.4,1.2,0,20,7.6,1,8,,1,0,1,3
00-BP,Oldham District ,98,95,0,3539,8908,14708,13244,31448,,76.6,10.9,33.4,19.2,0,152,60.3,8.2,64.8,,9,3.9,1.3,0,20,7,0.9,7.5,,1.1,0,1,1
00-BQ,Rochdale District ,98,94,0,3143,9564,14615,15427,25964,,81.4,10.7,29.7,15.8,0.1,152,58.8,8.8,63.3,,9.4,3.7,1.2,0,20,7.4,0.9,7.9,,1.1,0,1,2
00-BR,Salford District ,91,89,1,1676,5812,16539,28169,32630,,87.3,12.2,34.3,18.5,0.1,152,65.8,11.3,70.4,,11.7,3.5,1.3,0,20,6.9,1,7.3,,1.1,0,1,3
00-BS,Stockport District ,98,96,0,2002,7262,18460,29553,48238,,73.5,9.5,38.9,20.3,0.2,152,66,10.8,71.5,,11.5,3.9,2,0,20,6.7,1,7.2,,1.1,0,1,1
00-BT,Tameside District ,97,92,0,1793,6413,20513,23523,25108,,79,10.8,27.8,14.8,0.2,152,58.6,10.3,63.4,,10.8,3.6,1.2,0,20,8.1,1,8.7,,1.1,0,0,1
00-BU,Trafford District ,98,94,0,2001,6130,14650,23811,35388,,74.8,10.9,35.4,20,0.1,152,62.3,10.8,67.2,,11.3,4.2,1.3,0,20,7.6,1,8.1,,1.1,0,1,1
00-BW,Wigan District ,97,95,0,3473,9535,18944,29074,50344,,73.8,9.2,39.1,20.1,0.1,152,67.6,10.3,73,,11,3.5,1.4,0,20,5.9,1,6.3,,1.1,0,0,1
